filename,condition,num_frames,height,width,dtype,min_value,max_value,mean_value,file_size_mb,avg_frame_diff
ZS-1.tif,anesthetic,34,512,512,uint16,30,2027,85.00196647644043,17.011775016784668,13.567508697509766
ZS-10.tif,anesthetic,41,512,512,uint16,30,1486,63.502346783149534,20.513949394226074,9.6060302734375
ZS-2.tif,anesthetic,34,512,512,uint16,29,973,65.95208717794979,17.01177406311035,10.108280563354493
ZS-3.tif,anesthetic,40,512,512,uint16,29,2096,58.98413400650024,20.013571739196777,8.251849365234374
ZS-4.tif,anesthetic,34,512,512,uint16,29,1035,71.04945440853344,17.011775016784668,11.627126312255859
ZS-5.tif,anesthetic,49,512,512,uint16,30,1444,70.7615412498007,24.51626682281494,10.570706558227538
ZS-6.tif,anesthetic,38,512,512,uint16,30,3069,68.37570381164551,19.012972831726074,10.827902603149415
ZS-7.tif,anesthetic,43,512,512,uint16,29,1595,72.27087632999864,21.514470100402832,11.180651473999024
ZS-8.tif,anesthetic,47,512,512,uint16,30,2754,58.17212108855552,23.51566791534424,7.648527908325195
ZS-9.tif,anesthetic,35,512,512,uint16,28,1638,80.5037109375,17.51207447052002,12.771527099609376
ZS-1.tif,stimulant,39,512,512,uint16,27,3349,185.1571133931478,19.513272285461426,24.92166938781738
ZS-10.tif,stimulant,35,512,512,uint16,29,2898,67.71188267299107,17.512141227722168,10.445419692993164
ZS-2.tif,stimulant,75,512,512,uint16,28,1672,62.66431238810221,37.52405261993408,8.616279220581054
ZS-3.tif,stimulant,35,512,512,uint16,27,4032,200.26770193917412,17.51207447052002,29.266606521606445
ZS-4.tif,stimulant,56,512,512,uint16,29,2655,118.33621767589024,28.018362998962402,16.931661224365236
ZS-5.tif,stimulant,38,512,512,uint16,29,2272,163.85686894467003,19.012972831726074,23.3937744140625
ZS-6.tif,stimulant,36,512,512,uint16,29,4089,155.91422261132135,18.01237392425537,22.68519172668457
ZS-7.tif,stimulant,50,512,512,uint16,29,2336,71.56229217529297,25.016566276550293,10.184418869018554
ZS-8.tif,stimulant,32,512,512,uint16,29,3633,222.8043668270111,16.011176109313965,30.9300479888916
ZS-9.tif,stimulant,39,512,512,uint16,29,3389,141.55774708283252,19.513272285461426,20.910271835327148
ZS-1.tif,control,37,512,512,uint16,25,1838,97.15987561200116,18.512673377990723,15.546270370483398
ZS-10.tif,control,34,512,512,uint16,29,3152,99.29065726785099,17.011839866638184,15.184002685546876
ZS-2.tif,control,47,512,512,uint16,26,2478,98.90590805703022,23.51566791534424,14.607120895385743
ZS-3.tif,control,27,512,512,uint16,27,2676,124.7555371037236,13.509678840637207,19.50423698425293
ZS-4.tif,control,28,512,512,uint16,26,2699,147.08877563476562,14.009978294372559,20.414465713500977
ZS-5.tif,control,35,512,512,uint16,26,1890,60.0057249886649,17.51207447052002,9.392529678344726
ZS-6.tif,control,62,512,512,uint16,27,1796,76.77480371536747,31.02015972137451,10.351802825927734
ZS-7.tif,control,28,512,512,uint16,29,1727,106.28957516806466,14.009978294372559,17.018819046020507
ZS-8.tif,control,35,512,512,uint16,25,1183,75.17676598685128,17.51207447052002,12.380156707763671
ZS-9.tif,control,45,512,512,uint16,28,4095,139.30237630208333,22.515069007873535,21.090279006958006
