filename,condition,num_frames,height,width,dtype,min_value,max_value,mean_value,file_size_mb,avg_frame_diff
ZS-1.tif,control,37,512,512,uint16,25,1838,97.15987561200116,18.512673377990723,15.546270370483398
ZS-10.tif,control,34,512,512,uint16,29,3152,99.29065726785099,17.011839866638184,15.184002685546876
ZS-2.tif,control,47,512,512,uint16,26,2478,98.90590805703022,23.51566791534424,14.607120895385743
ZS-3.tif,control,27,512,512,uint16,27,2676,124.7555371037236,13.509678840637207,19.50423698425293
ZS-4.tif,control,28,512,512,uint16,26,2699,147.08877563476562,14.009978294372559,20.414465713500977
ZS-5.tif,control,35,512,512,uint16,26,1890,60.0057249886649,17.51207447052002,9.392529678344726
ZS-6.tif,control,62,512,512,uint16,27,1796,76.77480371536747,31.02015972137451,10.351802825927734
ZS-7.tif,control,28,512,512,uint16,29,1727,106.28957516806466,14.009978294372559,17.018819046020507
ZS-8.tif,control,35,512,512,uint16,25,1183,75.17676598685128,17.51207447052002,12.380156707763671
ZS-9.tif,control,45,512,512,uint16,28,4095,139.30237630208333,22.515069007873535,21.090279006958006
